order_id,customer_id,order_status,order_date
1,422,delivered,2023-07-01
2,459,open,2023-07-01
3,711,paid,2023-07-01
4,944,open,2023-07-01
5,865,open,2023-07-01
6,234,paid,2023-07-01
7,515,paid,2023-07-01
8,761,paid,2023-07-01
9,644,open,2023-07-01
10,716,delivered,2023-07-01
11,829,open,2023-07-01
12,261,paid,2023-07-01
13,191,open,2023-07-01
14,706,paid,2023-07-01
15,952,open,2023-07-01
16,73,open,2023-07-01
17,474,delivered,2023-07-01
18,341,delivered,2023-07-01
19,844,paid,2023-07-01
20,164,paid,2023-07-01
21,48,paid,2023-07-01
22,498,delivered,2023-07-01
23,690,open,2023-07-01
24,155,delivered,2023-07-01
25,954,open,2023-07-02
26,642,open,2023-07-02
27,398,paid,2023-07-02
28,897,delivered,2023-07-02
29,685,open,2023-07-02
30,590,paid,2023-07-02
31,647,paid,2023-07-02
32,466,open,2023-07-02
33,922,delivered,2023-07-02
34,833,open,2023-07-02
35,183,open,2023-07-02
36,533,paid,2023-07-02
37,953,delivered,2023-07-02
38,320,open,2023-07-02
39,693,open,2023-07-02
40,53,paid,2023-07-02
41,304,delivered,2023-07-02
42,461,paid,2023-07-02
43,949,paid,2023-07-02
44,135,open,2023-07-02
45,404,paid,2023-07-02
46,409,paid,2023-07-02
47,737,paid,2023-07-02
48,581,open,2023-07-02
49,252,paid,2023-07-02
50,228,delivered,2023-07-02
51,841,open,2023-07-02
52,533,open,2023-07-02
53,189,open,2023-07-02
54,527,delivered,2023-07-02
55,222,delivered,2023-07-02
56,606,open,2023-07-02
57,742,open,2023-07-02
58,557,open,2023-07-02
59,23,paid,2023-07-02
60,922,open,2023-07-02
61,609,delivered,2023-07-02
62,331,delivered,2023-07-02
63,347,paid,2023-07-02
64,232,paid,2023-07-02
65,76,delivered,2023-07-02
66,753,paid,2023-07-02
67,711,paid,2023-07-02
68,888,delivered,2023-07-02
69,309,paid,2023-07-02
70,582,paid,2023-07-02
71,684,paid,2023-07-02
72,296,paid,2023-07-03
73,713,delivered,2023-07-03
74,498,paid,2023-07-03
75,892,delivered,2023-07-03
76,137,delivered,2023-07-03
77,662,open,2023-07-03
78,867,paid,2023-07-03
79,467,paid,2023-07-03
80,500,paid,2023-07-04
81,426,open,2023-07-04
82,675,paid,2023-07-04
83,746,paid,2023-07-04
84,797,open,2023-07-04
85,80,open,2023-07-04
86,540,paid,2023-07-04
87,966,paid,2023-07-04
88,846,open,2023-07-04
89,879,delivered,2023-07-04
90,363,delivered,2023-07-04
91,180,delivered,2023-07-04
92,440,paid,2023-07-04
93,72,paid,2023-07-04
94,592,delivered,2023-07-04
95,734,delivered,2023-07-04
96,44,open,2023-07-04
97,446,paid,2023-07-04
98,313,open,2023-07-04
99,819,open,2023-07-04
100,829,delivered,2023-07-04
101,635,paid,2023-07-04
102,917,open,2023-07-04
103,341,delivered,2023-07-04
104,563,open,2023-07-04
105,947,paid,2023-07-04
106,572,paid,2023-07-04
107,210,paid,2023-07-04
108,344,delivered,2023-07-04
109,692,delivered,2023-07-04
110,16,open,2023-07-04
111,580,open,2023-07-04
112,456,paid,2023-07-05
113,886,delivered,2023-07-05
114,946,open,2023-07-05
115,38,paid,2023-07-05
116,60,delivered,2023-07-05
117,909,paid,2023-07-05
118,322,delivered,2023-07-06
119,956,delivered,2023-07-06
120,152,open,2023-07-06
121,696,open,2023-07-06
122,826,open,2023-07-06
123,397,open,2023-07-06
124,773,open,2023-07-06
125,223,open,2023-07-06
126,381,paid,2023-07-06
127,154,delivered,2023-07-06
128,181,paid,2023-07-06
129,701,delivered,2023-07-06
130,843,delivered,2023-07-06
131,893,open,2023-07-06
132,28,delivered,2023-07-06
133,317,delivered,2023-07-06
134,702,delivered,2023-07-06
135,656,open,2023-07-06
136,939,delivered,2023-07-06
137,14,paid,2023-07-06
138,490,paid,2023-07-06
139,337,paid,2023-07-06
140,441,delivered,2023-07-06
141,128,delivered,2023-07-06
142,180,paid,2023-07-06
143,250,paid,2023-07-06
144,427,delivered,2023-07-06
